x.coordinate,y.coordinate,Landmark,Screenshot.No
10.94527,20.71654,ISI Guest House,1
14.17057,39.74925,ISI Staff Quarter,1
59.58661,30.09774,ISI hostel Campus,1
61.06966,82.53329,Bonhoogly Auto Stand,1
85.07266,44.12347,Laxmi Bhandar,1
87.61673,43.05802,Sheraton Bar & Restraunt,1
79.52725,80.05417,Milan Bar & Restaurant,1
83.65079,69.8133,Maa Kali Temple,1
87.23039,60.73787,New Hotel,1
26.08256,58.13156,Bonhoogly Auto Stand,2
44.32897,56.04695,Milan Bar & Restaurant,2
24.55363,5.348449,ISI hostel Campus,2
48.57249,45.52913,Maa Kali Temple,2
61.27529,83.12774,Bedi Diesel Service Center,2
50.00342,19.53583,Laxmi Bhandar,2
52.08241,36.21416,New Hotel,2
52.56336,18.94138,Sheraton Bar & Restraunt,2
75.84466,15.05212,Upasi Medical Store,2
69.72438,37.99456,Kalika Mishtanno Bhandar,2
12.31534,57.21145,Milan Bar & Restaurant,3
29.10985,84.55476,Bedi Diesel Service Center,3
16.46595,46.45358,Maa Kali Temple,3
17.72241,20.69145,Laxmi Bhandar,3
20.25402,20.34419,Sheraton Bar & Restraunt,3
37.49209,39.1929,Kalika Mishtanno Bhandar,3
43.3869,16.31808,Upasi Medical Store,3
19.78554,37.77732,New Hotel,3
58.78787,5.682737,Bonhoogly Industrial Estate,3
84.58152,62.92572,Shanti Garage,3
82.74838,22.17179,Taj Mahal Restraunt,3
87.31026,5.184394,Annapurna Chinese,3
17.00298,69.44201,Kalika Mishtanno Bhandar,4
22.89667,46.87427,Upasi Medical Store,4
38.10672,35.5067,Bonhoogly Industrial Estate,4
62.22245,52.461,Taj Mahal Restraunt,4
66.42065,35.44685,Annapurna Chinese,4
80.20487,33.52522,Taj Haji Biriyani,4
74.25737,58.82215,Sri Sri Jayanti Mata Thakur Bari,4
89.56826,23.36599,Baranagar Municipality Health Dept.,4
18.42598,39.52473,Taj Mahal Restraunt,5
22.98617,22.57735,Annapurna Chinese,5
30.68127,45.59564,Sri Sri Jayanti Mata Thakur Bari,5
36.67975,21.27217,Taj Haji Biriyani,5
46.11792,10.44438,Baranagar Municipality Health Dept.,5
54.75281,17.36918,Saaj Sojja,5
54.80153,71.96461,Deyears & Dry Cleaners,5
85.60062,34.00464,foodiez,5
66.60759,4.795988,foodiez,6
35.70087,43.21019,Deyears & Dry Cleaners,6
11.92843,17.12584,Sri Sri Jayanti Mata Thakur Bari,6
38.40243,66.48214,Chopsticks,6
55.96225,67.08532,Gunja Bakery,6
53.72804,56.60188,Krishna Communication,6
78.50882,78.04068,Pappu Juice Corner,6
83.59697,65.75802,Anandam Cinema Hall,6
57.24477,73.57507,Paul Enterprise,6
96.29354,23.81764,Shiv Mandir,6
66.94012,86.2043,Rikas Rassoi Ghar,6
65.78789,14.31392,Shiv Mandir,7
7.763084,56.90568,Chopsticks,7
26.8864,64.0989,Paul Enterprise,7
23.05585,47.38749,Krishna Communication,7
52.89928,56.20443,Anandam Cinema Hall,7
36.61687,77.02088,Rikas Rassoi Ghar,7
31.44602,78.45731,Phuchka Thela,7
71.24765,74.17014,Tapas Da's Tea Stall,7
48.27735,68.61024,Pappu Juice Corner,7
96.15872,50.09075,Tym pass cafe,7
5.131206,34.02455,Deyears & Dry Cleaners,7
95.00593,34.90573,Technocon Office,7
32.12467,75.49843,Tapas Da's Tea Stall,8
9.238204,69.82049,Pappu Juice Corner,8
14.20682,57.17907,Anandam Cinema Hall,8
57.28442,51.35702,Tym pass cafe,8
56.12313,36.15723,Technocon Office,8
26.70626,15.77848,Shiv Mandir,8
76.25875,64.56789,Temporary veg and fish Market,8
66.76904,42.49667,Indus Key Point Bon Hoogly,8
65.06449,5.64575,RCM Business,8
52.8245,79.30974,Temporary veg and fish Market,9
3.746722,29.7759,Shiv Mandir,9
41.49712,19.97281,RCM Business,9
32.99195,50.60284,Technocon Office,9
33.97706,65.11138,Tym pass cafe,9
53.01824,78.90113,Temporary veg and fish Market,9
78.16553,38.90352,Siddha Lakeville,9
79.46844,12.41958,Bonhoogly Tenament Bazar,9
